name,file path
All Moving Parts-Black Sabbath-(9)Metal,E:\Music\Metal\All Moving Parts.mp3
And Justice For All-Metallica-(9)Metal,E:\Music\Metal\And Justice For All.mp3
Angel Of Death-Slayer-(9)Metal,E:\Music\Metal\Angel of Death.mp3
Attack-System Of A Down-(9)Metal,E:\Music\Metal\Attack.mp3
B.y.o.b-System Of A Down-(9)Metal,E:\Music\Metal\B.Y.O.B.mp3
Battery-Metallica-(9)Metal,E:\Music\Metal\Battery.mp3
Snowblind-Black Sabbath-(9)Metal,E:\Music\Metal\Black Sabbath - Snowblind (with lyrics).wmv.mp3
Black Sabbath-Black Sabbath-(9)Metal,E:\Music\Metal\Black Sabbath.mp3
Blood On The World's Hands-Iron Maiden-(9)Metal,E:\Music\Metal\Blood On The World's Hands.mp3
Brave New World-Iron Maiden-(9)Metal,E:\Music\Metal\brave new world.mp3
Changes-Black Sabbath-(9)Metal,E:\Music\Metal\changes.mp3
Charlotte The Harlot-Iron Maiden-(9)Metal,E:\Music\Metal\Charlotte the Harlot.mp3
Chic ´n´ Stu-System Of A Down-(9)Metal,E:\Music\Metal\chic´n´stu.mp3
Children Of The Grave-Black Sabbath-(9)Metal,E:\Music\Metal\Children of the Grave.mp3
Chop Suey-System Of A Down-(9)Metal,E:\Music\Metal\Chop Suey.mp3
Crazy Train-Ozzy Osbourne-(9)Metal,E:\Music\Metal\Crazy Train.mp3
Cult-Slayer-(9)Metal,E:\Music\Metal\Cult.mp3
Die With Your Boots On-Iron Maiden-(9)Metal,E:\Music\Metal\Die With Your Boots On.mp3
Dont Cry-Guns And Roses-(9)Metal,E:\Music\Metal\Dont Cry.mp3
Enter Sandman-Metallica-(9)Metal,E:\Music\Metal\Enter Sandman.mp3
"Evil Woman, Dont Play Your Games With Me-Black Sabbath-(9)Metal","E:\Music\Metal\evil woman, dont play your games with me.mp3"
Fade To Black-Metallica-(9)Metal,E:\Music\Metal\fade to black.mp3
For Whon The Bell Tolls-Metallica-(9)Metal,E:\Music\Metal\For Whon The Bell Tolls.mp3
Fuck The System-System Of A Down-(9)Metal,E:\Music\Metal\Fuck the System.mp3
Fuel-Metallica-(9)Metal,E:\Music\Metal\Fuel.mp3
Genghis Khan-Iron Maiden-(9)Metal,E:\Music\Metal\Genghis Khan.mp3
Heaven And Hell-Iron Maiden-(9)Metal,E:\Music\Metal\heaven and hell.mp3
Here Comes The Pain-Slayer-(9)Metal,E:\Music\Metal\Here Comes The Pain.mp3
Hypnotize-System Of A Down-(9)Metal,E:\Music\Metal\Hypnotize.mp3
Iron Man-Black Sabbath-(9)Metal,E:\Music\Metal\Iron Man.mp3
Lonely Day-System Of A Down-(9)Metal,E:\Music\Metal\Lonely Day.mp3
Marmalade-System Of A Down-(9)Metal,E:\Music\Metal\marmalade.mp3
Master Of Puppets-Metallica-(9)Metal,E:\Music\Metal\Master of Puppets.mp3
Mr. Crowley-Ozzy Osbourne-(9)Metal,E:\Music\Metal\Mr. Crowley.mp3
Murders In The Rue Morgue-Metallica-(9)Metal,E:\Music\Metal\Murders in the Rue Morgue.mp3
N.i.b.-Black Sabbath-(9)Metal,E:\Music\Metal\N.I.B..mp3
Nothing Else Matters-Metallica-(9)Metal,E:\Music\Metal\nothing else matters.mp3
One-Metallica-(9)Metal,E:\Music\Metal\One.mp3
Paranoid-Black Sabbath-(9)Metal,E:\Music\Metal\Paranoid.mp3
Phantom Of The Opera-Iron Maiden-(9)Metal,E:\Music\Metal\Phantom of the Opera.mp3
Powerslave-Iron Maiden-(9)Metal,E:\Music\Metal\Powerslave.mp3
Prowler-Iron Maiden-(9)Metal,E:\Music\Metal\Prowler.mp3
Purgatory-Iron Maiden-(9)Metal,E:\Music\Metal\Purgatory.mp3
Rainbow In The Dark-Dio-(9)Metal,E:\Music\Metal\Rainbow In The Dark.mp3
Raining Blood-Slayer-(9)Metal,E:\Music\Metal\Raining Blood.mp3
Remember Tomorrow-Iron Maiden-(9)Metal,E:\Music\Metal\Remember Tomorrow.mp3
Running Free-Iron Maiden-(9)Metal,E:\Music\Metal\Running Free.mp3
Sabath Blody Sabath-Black Sabbath-(9)Metal,E:\Music\Metal\sabath blody sabath.mp3
Sabbra Cadabra-Black Sabbath-(9)Metal,E:\Music\Metal\Sabbra Cadabra.mp3
Sanctuary-Iron Maiden-(9)Metal,E:\Music\Metal\Sanctuary.mp3
Seek And Destroy-Metallica-(9)Metal,E:\Music\Metal\Seek and Destroy.mp3
Snowblind-Black Sabbath-(9)Metal,E:\Music\Metal\snowblind.mp3
South Of Heaven-Slayer-(9)Metal,E:\Music\Metal\south of heaven.mp3
Strange World-Iron Maiden-(9)Metal,E:\Music\Metal\Strange World.mp3
Sugar-System Of A Down-(9)Metal,E:\Music\Metal\Sugar.mp3
Tehran-The Offspring-(9)Metal,E:\Music\Metal\Tehran.mp3
The Edge Of Darkness-Iron Maiden-(9)Metal,E:\Music\Metal\The Edge Of Darkness.mp3
The Evil That Men Do-Iron Maiden-(9)Metal,E:\Music\Metal\The Evil That Men Do.mp3
The Four Horsemen-Metallica-(9)Metal,E:\Music\Metal\The Four Horsemen.mp3
The Ides Of March-Iron Maiden-(9)Metal,E:\Music\Metal\The Ides of March.mp3
The Trooper-Iron Maiden-(9)Metal,E:\Music\Metal\the trooper.mp3
The Unforgiven Ii-Metallica-(9)Metal,E:\Music\Metal\The Unforgiven II.mp3
The Unforgiven-Metallica-(9)Metal,E:\Music\Metal\the unforgiven.mp3
The Wizard-Black Sabbath-(9)Metal,E:\Music\Metal\The Wizard.mp3
Toxicity-System Of A Down-(9)Metal,E:\Music\Metal\toxicity.mp3
Transylvania-Iron Maiden-(9)Metal,E:\Music\Metal\Transylvania.mp3
War Pigs-Black Sabbath-(9)Metal,E:\Music\Metal\War Pigs.mp3
Way Down The Line-The Offspring-(9)Metal,E:\Music\Metal\Way Down The Line.mp3
Welcome_home_sanitarium-Metallica-(9)Metal,E:\Music\Metal\Welcome_Home_Sanitarium.mp3
Wrathchild-Iron Maiden-(9)Metal,E:\Music\Metal\Wrathchild.mp3
Acacia Avenue-Iron Maiden-(9)Metal,E:\Music\Metal\22 Acacia Avenue.mp3
A Thousand Days-The Offspring-(9)Metal,E:\Music\Metal\A Thousand Days.mp3
All I Want-The Offspring-(9)Metal,E:\Music\Metal\All I Want.mp3
- (can't Get My) Head Around You-The Offspring-(17)Rock,E:\Music\Rock\(Can't Get My) Head Around You.mp3
Roxanne-The Police-(17)Rock,E:\Music\Rock\01 Roxanne.mp3
Can't Stand Losing You-The Police-(17)Rock,E:\Music\Rock\02 Can't Stand Losing You.mp3
Dream On-Aerosmith-(17)Rock,E:\Music\Rock\AEROSMITH-DREAM ON.mp3
Black Night-Deep Purple-(17)Rock,E:\Music\Rock\Black Night.mp3
Bus Stop-The Hollies-(17)Rock,E:\Music\Rock\Bus Stop.mp3
Dirty Magic-The Offspring-(17)Rock,E:\Music\Rock\Dirty Magic (Lyrics).mp3
I Love Rock And Roll-Joan Jett-(17)Rock,E:\Music\Rock\I Love Rock and Roll.mp3
I Wanna Be Sedated-Ramones-(17)Rock,E:\Music\Rock\I WANNA BE SEDATED.mp3
Immigrant Song-Led Zeppelin-(17)Rock,E:\Music\Rock\immigrant song.mp3
In The End-Linkin Park-(17)Rock,E:\Music\Rock\In The End.mp3
Let It Be-The Beatles-(17)Rock,E:\Music\Rock\let it be.mp3
Love Me Do-The Beatles-(17)Rock,E:\Music\Rock\love me do.mp3
My Generation-The Who-(17)Rock,E:\Music\Rock\my generation.mp3
My Sharona-The Knack-(17)Rock,E:\Music\Rock\My Sharona.mp3
She's Gone-Black Sabbath-(17)Rock,E:\Music\Rock\She's Gone.mp3
Shes Got Issues-The Offspring-(17)Rock,E:\Music\Rock\She's Got Issues.mp3
Don't Let Me Down-The Beatles-(17)Rock,E:\Music\Rock\The Beatles  Don't Let me Down.mp3
The Final Countdown-Europe-(17)Rock,E:\Music\Rock\the final countdown.mp3
The Kids Aren't Alright-The Offspring-(17)Rock,E:\Music\Rock\The Kids Aren't Alright.mp3
Seven Nation Army-The White Stripes-(17)Rock,E:\Music\Rock\The White Stripes - 'Seven Nation Army'.mp3
Thunderstruck-Ac/dc-(17)Rock,E:\Music\Rock\Thunderstruck.mp3
You Can't Bring Me Down-Suicidal Tendences-(17)Rock,E:\Music\Rock\You Can't Bring Me Down.mp3
You Really Got Me-The Kinks-(17)Rock,E:\Music\Rock\you really got me.mp3
